id,name,ele,lng,lat,flights,top_pilot,top_dist
1966389671,Vorder Grauspitz,2599,9.5812795,47.0527317,0,,
1966389666,Hinter Grauspitz,2574,9.5874533,47.0548251,1,Friedrich Bloße,8.59 km
333223250,Naafkopf,2571,9.6070544,47.060772500000006,1,Lorenz Brusa,64.87 km
425270092,Falknis,2565,9.5640342,47.050440200000004,7,Johannes Engewald,48.92 km
2713010522,Mazorakopf,2452,9.5569179,47.0485148,0,,
1372826233,Glegghorn,2447,9.5764741,47.036272000000004,0,,
1501969254,Augstenberg,2359,9.6101097,47.0823936,9,Martin Bühler,175.56 km
3016379392,Plasteikopf,2345,9.5776558,47.0659585,0,,
890267077,Gorfion,2308,9.6186837,47.078138200000005,0,,
890269809,Ochsenkopf,2286,9.6246738,47.114693,0,,
3016379387,Hochspeler,2226,9.5713592,47.073272700000004,0,,
2433401131,Rappastein,2222,9.565981,47.076840600000004,5,Kurt Müller,16.77 km
90486978,Galinakopf,2198,9.620588600000001,47.1516384,3,Martin Gassner,14.60 km
9562709322,Spitz,2187,9.623966900000001,47.086608700000006,4,Hermann Lenherr,38.77 km
3612953543,Scheienkopf,2159,9.635967200000001,47.128281,0,,
5183703716,Silberhorn,2150,9.6055122,47.0871307,0,,
9677670549,Rot Spitz,2127,9.5524,47.057900000000004,1,Rolf Erhardt,8.87 km
26863444,Kuhgrat,2122,9.5608307,47.1666716,4,Patrick Dünser,23.68 km
3016379386,Goldlochspitz,2110,9.5675293,47.082143200000004,0,,
1342463884,Schönberg,2104,9.593016,47.1303811,2,Rolf Erhardt,24.45 km
3027296240,Garsellikopf,2104,9.564618900000001,47.170281,0,,
3565824548,Nospitz,2091,9.5981153,47.0931366,1,Theo Schürholz,13.67 km
8150920951,Drei Kapuziner,2085,9.588753,47.124486600000004,0,,
12040710645,Stachlerkopf,2071,9.5922546,47.1221296,1,Urs Schönauer,63.48 km
1401972676,Drei Schwestern,2051,9.5729714,47.1755681,0,,
6550843030,Garselli-Turm 1,2050,9.569741200000001,47.1699652,0,,
12040710625,Langspetz,2050,9.6043751,47.1502823,0,,
890269392,Garselli-Turm 2,2040,9.5700985,47.169858000000005,0,,
5792154179,Wolan,2034,9.5734963,47.1764512,1,Hubert STEPHAN 🐦,69.10 km
3722412500,Jahnturm,2034,9.573301200000001,47.1766486,1,Hubert STEPHAN 🐦,69.10 km
6550836264,Garselli-Turm 3,2020,9.5706436,47.1697537,0,,
12040710469,Wurmtalkopf,2006,9.6258274,47.1458899,0,,
3016379390,Langspitz,2006,9.559697100000001,47.079423500000004,0,,
3565824547,Helwangspitz,2000,9.561883400000001,47.1485896,1,Hermann Lenherr,17.40 km
3016379388,Kolm,1993,9.5721006,47.0876195,2,Matthias Göbel,20.41 km
3855372534,Gafleispitz,1982,9.5549163,47.158919700000006,0,,
3027296239,Alpspitz,1942,9.5539036,47.148701300000006,9,Peter Haltiner,97.62 km
12040710528,Heubüal,1936,9.5667991,47.0966171,0,,
12040710111,Girastein,1929,9.5890114,47.10342,0,,
3016379389,Koraspitz,1927,9.556748500000001,47.0794598,0,,
3027301487,Wissa Schrofa,1923,9.5569425,47.1680665,1,Rolf Erhardt,9.77 km
2712924224,Mittlerspitz,1897,9.5397424,47.065124000000004,0,,
12040710663,Kirchlespitz,1892,9.5876125,47.1050119,0,,
890268617,Mittagspitze,1856,9.5341049,47.069261100000006,0,,
12040710503,Ober Band,1848,9.5790897,47.171046600000004,0,,
970920876,Gurtisspitze,1778,9.6320181,47.182053,1,Klaus Lampert,21.46 km
970920886,Zäwas-Heil Spitze,1770,9.6314284,47.180587100000004,0,,
2926962971,Spitztäle,1730,9.6254,47.177677,1,Martin Gassner,46.71 km
2712990726,Wörznerhorn,1713,9.5313049,47.063087900000006,0,,
1891978646,Chrüppel,1706,9.565642500000001,47.1064589,0,,
4200519161,Plattenspitz,1702,9.558683700000001,47.1331726,3,Patrick Dünser,102.12 km
3027301486,Sattelspitz,1688,9.5735465,47.1851014,1,Samuel Vurpillot,6.17 km
3027301485,Saroja,1659,9.572669300000001,47.1907596,22,Severin Puschkarski 🌤,66.07 km
12040710658,Frastanzersand,1646,9.577643700000001,47.193946600000004,4,Hubert STEPHAN 🐦,63.84 km
